Date,Close ,,,,,,
"Dec 1, 2024",1.0406,,,,,,
"Nov 1, 2024",1.0581,,,,,,
"Oct 1, 2024",1.0859,,,,,,
"Sep 1, 2024",1.117,,,,,,
"Aug 1, 2024",1.1062,,,,,,
"Jul 1, 2024",1.0816,,,,,,
"Jun 1, 2024",1.0722,,,,,,
"May 1, 2024",1.0835,,,,,,
"Apr 1, 2024",1.0716,,,,,,
"Mar 1, 2024",1.0801,,,,,,
"Feb 1, 2024",1.0839,,,,,,Q
"Jan 1, 2024",1.0843,,,,,,
"Dec 1, 2023",1.1056,,,,,,
"Nov 1, 2023",1.0974,,,,,,
"Oct 1, 2023",1.0615,,,,,,
"Sep 1, 2023",1.0588,,,,,,
"Aug 1, 2023",1.0933,,,,,,
"Jul 1, 2023",1.1024,,,,,,
"Jun 1, 2023",1.0868,,,,,,
"May 1, 2023",1.0733,,,,,,
"Apr 1, 2023",1.1128,,,,,,
"Mar 1, 2023",1.0905,,,,,,
"Feb 1, 2023",1.0611,,,,,,
"Jan 1, 2023",1.0851,,,,,,
"Dec 1, 2022",1.0728,,,,,,
"Nov 1, 2022",1.0324,,,,,,
"Oct 1, 2022",0.9955,,,,,,
"Sep 1, 2022",0.983,,,,,,
"Aug 1, 2022",1.0025,,,,,,
"Jul 1, 2022",1.0227,,,,,,
"Jun 1, 2022",1.0447,,,,,,
"May 1, 2022",1.0774,,,,,,
"Apr 1, 2022",1.0546,,,,,,
"Mar 1, 2022",1.1162,,,,,,
"Feb 1, 2022",1.1181,,,,,,
"Jan 1, 2022",1.1152,,,,,,
"Dec 1, 2021",1.1325,,,,,,
"Nov 1, 2021",1.1293,,,,,,
"Oct 1, 2021",1.1561,,,,,,
"Sep 1, 2021",1.1602,,,,,,
"Aug 1, 2021",1.1797,,,,,,
"Jul 1, 2021",1.1868,,,,,,
"Jun 1, 2021",1.1902,,,,,,
"May 1, 2021",1.219,,,,,,
"Apr 1, 2021",1.2127,,,,,,
"Mar 1, 2021",1.1724,,,,,,
"Feb 1, 2021",1.2074,,,,,,
"Jan 1, 2021",1.2139,,,,,,
"Dec 1, 2020",1.23,,,,,,
"Nov 1, 2020",1.1971,,,,,,
"Oct 1, 2020",1.1677,,,,,,
"Sep 1, 2020",1.1742,,,,,,
"Aug 1, 2020",1.1918,,,,,,
"Jul 1, 2020",1.1872,,,,,,
"Jun 1, 2020",1.1247,,,,,,
"May 1, 2020",1.111,,,,,,
"Apr 1, 2020",1.0877,,,,,,
"Mar 1, 2020",1.103,,,,,,
"Feb 1, 2020",1.103,,,,,,
"Jan 1, 2020",1.1029,,,,,,
"Dec 1, 2019",1.1202,,,,,,
"Nov 1, 2019",1.102,,,,,,
"Oct 1, 2019",1.1154,,,,,,
"Sep 1, 2019",1.0943,,,,,,
"Aug 1, 2019",1.1012,,,,,,
"Jul 1, 2019",1.1158,,,,,,
"Jun 1, 2019",1.1391,,,,,,
"May 1, 2019",1.1131,,,,,,
"Apr 1, 2019",1.1185,,,,,,
