"General Imports|Monthly data for 2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",,,,,,,,,,,,,,
Data Row Count,50,,,,,,,,,,,,,
Data Type,Country,Year,January,February,March,April,May,June,July,August,September,October,November,December
General Customs Value,Australia,2015,814426.00,501619.00,780941.00,1235026.00,1261810.00,1198574.00,1488345.00,892927.00,1074798.00,1412572.00,1399158.00,1114885.00
General Customs Value,Australia,2016,1616883.00,652777.00,1320305.00,1259634.00,1229924.00,916784.00,896794.00,1163656.00,1185594.00,946835.00,1354844.00,1378392.00
General Customs Value,Australia,2017,1095483.00,1693187.00,1463703.00,1090823.00,1313736.00,1132710.00,1209141.00,1601236.00,1204128.00,1377860.00,1195111.00,1900318.00
General Customs Value,Australia,2018,1393334.00,1521218.00,2930953.00,1753727.00,1857664.00,1850400.00,3295996.00,2030725.00,1734471.00,4816596.00,2748751.00,2109306.00
General Customs Value,Australia,2019,4045321.00,2381047.00,3934090.00,4362461.00,3796297.00,2658983.00,2044025.00,3474539.00,3311779.00,5163906.00,2560005.00,3607209.00
General Customs Value,Australia,2020,3981896.00,2172917.00,3023377.00,2190325.00,2477250.00,2989587.00,2313403.00,2197035.00,1694178.00,1702985.00,2807525.00,4719830.00
General Customs Value,Australia,2021,3689837.00,2172225.00,3369394.00,4124383.00,2866099.00,4459927.00,4281832.00,1325777.00,2946731.00,2961675.00,2309266.00,4304004.00
General Customs Value,Australia,2022,3077828.00,1952534.00,3968915.00,1848011.00,3500890.00,3205201.00,2933134.00,1951306.00,3148548.00,1842554.00,1652678.00,3334118.00
General Customs Value,Australia,2023,3271868.00,2110901.00,1996779.00,2238102.00,2297055.00,2444190.00,3039406.00,3258047.00,1741565.00,2038035.00,2387048.00,1617370.00
General Customs Value,Australia,2024,2825865.00,3224302.00,2460569.00,3606232.00,2823829.00,2319930.00,1962116.00,2660810.00,2298625.00,2883404.00,2188182.00,
General Customs Value,France,2015,32458142.00,47317275.00,53050175.00,55895683.00,42934307.00,59529460.00,46838710.00,44854708.00,51422957.00,39333739.00,55606497.00,53013053.00
