Category: All categories,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Month,glycerin: (United States),lecithin: (United States),xanthan gum: (United States),citric acid: (United States),sodium benzoate: (United States),sodium hydroxide: (United States),niacinamide: (United States),silica: (United States),camellia: (United States),lactic acid: (United States),citronellol: (United States),cetyl alcohol: (United States),acrylates: (United States),geraniol: (United States),stearic acid: (United States),shea butter: (United States),allantoin: (United States),maltodextrin: (United States)
1-04,31,31,7,27,7,23,3,40,23,18,0,33,0,0,0,45,0,20
2-04,39,30,6,32,5,26,4,44,21,16,0,0,0,0,71,38,0,16
3-04,33,30,5,29,0,22,3,41,29,20,0,0,0,0,73,35,0,14
4-04,26,33,5,33,6,21,5,43,23,19,0,0,0,0,99,36,5,22
5-04,33,30,5,27,6,19,2,42,22,18,0,31,0,0,59,32,0,13
6-04,32,26,4,21,6,16,3,47,15,16,0,0,0,0,57,39,0,18
7-04,28,32,6,24,5,12,3,43,16,17,0,0,0,0,66,36,0,17
8-04,22,29,4,20,4,13,4,40,15,22,0,0,0,28,48,31,0,17
9-04,31,31,5,27,8,24,3,41,16,20,0,0,0,0,88,33,0,14
10-04,30,27,5,32,7,29,2,41,17,21,0,0,0,0,71,33,4,15
11-04,31,31,5,31,7,24,3,40,20,20,0,29,0,0,93,34,0,16
12-04,31,28,5,30,6,21,3,38,16,20,0,38,0,0,100,46,4,15
1-05,32,30,5,29,7,18,3,37,15,17,0,21,0,0,33,48,0,18
2-05,32,32,6,31,7,25,3,40,21,23,0,30,0,0,77,43,4,18
3-05,32,27,5,30,5,22,3,37,23,19,0,28,0,0,67,38,0,21
4-05,31,31,4,29,8,23,3,42,23,21,0,22,0,0,73,36,5,17
5-05,30,31,5,28,5,20,5,39,21,18,0,0,0,0,96,36,0,16
6-05,28,30,5,27,4,16,4,41,14,16,0,0,0,20,55,39,0,19
7-05,29,28,5,22,5,16,3,42,14,16,0,24,0,0,38,34,0,17
8-05,29,28,4,20,6,13,4,34,13,17,0,0,0,0,55,32,0,20
9-05,34,24,5,24,9,26,3,37,15,17,0,0,0,0,90,26,0,16
10-05,33,26,2,34,8,31,2,39,16,19,0,15,0,0,67,32,3,16
11-05,32,27,4,31,7,24,3,33,15,21,0,18,0,0,62,32,3,16
